,prod_id,path,content_id,sub_path
0,ABW-135,X:\JAV\ABW\ABW-135.mp4,,
1,AVOP-423,X:\JAV\AVOP\AVOP-423.mp4,avop00423,X:\JAV\AVOP\AVOP-423.srt
2,BAB-032,D:\NAS_Data3\[download]\JAV\BAB-032.mp4,bab00032,
3,CAWD-268,D:\NAS_Data3\[download]\JAV\CAWD-268.mp4,cawd00268,
4,CHRV-142,D:\NAS_Data3\[download]\JAV\CHRV-142.mp4,chrv00142,
5,DNJR-059,D:\NAS_Data3\[download]\JAV\DNJR-059.mp4,dnjr00059,
6,FSDSS-026,X:\JAV\FSDSS-026.mp4,1fsdss00026,X:\JAV\FSDSS-026.srt
7,HMN-030,D:\NAS_Data3\[download]\JAV\HMN-030.mp4,hmn00030,
8,IPZ-718,X:\JAV\IPZ-718.wmv,ipz00718,X:\JAV\IPZ-718.smi
9,JUFD-977,X:\JAV\JUFD-977.mp4,jufd00977,
10,JUFE-335,D:\NAS_Data3\[download]\JAV\JUFE-335.mp4,jufe00335,
11,MIAA-323,X:\JAV\MIAA-323.mp4,miaa00323,
12,MIFD-171,D:\NAS_Data3\[download]\JAV\MIFD-171.mp4,mifd00171,
13,SUPA-160,D:\NAS_Data3\[download]\JAV\SUPA-160.mkv,,
14,VRTM-492,D:\NAS_Data3\[download]\JAV\VRTM-492.mp4,,
15,ABP-016,X:\JAV\ABP\ABP-016.avi,118abp00016,
16,ABP-051,X:\JAV\ABP\ABP-051.wmv,118abp00051,
17,ABP-073,X:\JAV\ABP\ABP-073.wmv,118abp00073,
18,ABP-083,X:\JAV\ABP\ABP-083.wmv,118abp00083,X:\JAV\ABP\ABP-083.smi
19,ABP-108,X:\JAV\ABP\ABP-108.wmv,118abp00108,X:\JAV\ABP\ABP-108.srt
20,ABP-119,X:\JAV\ABP\ABP-119.wmv,118abp00119,X:\JAV\ABP\ABP-119.srt
21,ABP-138,X:\JAV\ABP\ABP-138.wmv,118abp00138,
22,ABP-145,X:\JAV\ABP\ABP-145.wmv,118abp00145,
23,ABP-149,X:\JAV\ABP\ABP-149.wmv,118abp00149,X:\JAV\ABP\ABP-149.smi
24,ABP-159,X:\JAV\ABP\ABP-159.mkv,118abp00159,
25,ABP-163,X:\JAV\ABP\ABP-163.wmv,,
26,ABP-171,X:\JAV\ABP\ABP-171.mkv,118abp00171,X:\JAV\ABP\ABP-171.smi
27,ABP-178,X:\JAV\ABP\ABP-178.mkv,118abp00178,
28,ABP-186,X:\JAV\ABP\ABP-186.wmv,118abp00186,
29,ABP-197,X:\JAV\ABP\ABP-197.wmv,118abp00197,X:\JAV\ABP\ABP-197.smi
30,ABP-202,X:\JAV\ABP\ABP-202.mkv,118abp00202,
31,ABP-210,X:\JAV\ABP\ABP-210.wmv,118abp00210,
32,ABP-228,X:\JAV\ABP\ABP-228.mp4,118abp00228,
33,ABP-229,X:\JAV\ABP\ABP-229.mkv,118abp00229,X:\JAV\ABP\ABP-229.smi
34,ABP-251,X:\JAV\ABP\ABP-251.mp4,118abp00251,X:\JAV\ABP\ABP-251.smi
35,ABP-254,X:\JAV\ABP\ABP-254.wmv,118abp00254,X:\JAV\ABP\ABP-254.smi
36,ABP-277,X:\JAV\ABP\ABP-277.mp4,118abp00277,
37,ABP-289,X:\JAV\ABP\ABP-289.wmv,118abp00289,
38,ABP-291,X:\JAV\ABP\ABP-291.mp4,118abp00291,
39,ABP-303,X:\JAV\ABP\ABP-303.mp4,118abp00303,
40,ABP-308,X:\JAV\ABP\ABP-308.avi,118abp00308,
41,ABP-312,X:\JAV\ABP\ABP-312.mp4,118abp00312,
42,ABP-312B,X:\JAV\ABP\ABP-312B.mp4,,
43,ABP-315,X:\JAV\ABP\ABP-315.mkv,118abp00315,
44,ABP-319,X:\JAV\ABP\ABP-319.mkv,118abp00319,
45,ABP-325,X:\JAV\ABP\ABP-325.mkv,118abp00325,
46,ABP-326,X:\JAV\ABP\ABP-326.mkv,118abp00326,
47,ABP-331,X:\JAV\ABP\ABP-331.avi,118abp00331,
48,ABP-333,X:\JAV\ABP\ABP-333.mp4,118abp00333,
49,ABP-352,X:\JAV\ABP\ABP-352.avi,118abp00352,
50,ABP-371,X:\JAV\ABP\ABP-371.mkv,118abp00371,X:\JAV\ABP\ABP-371.smi
51,ABP-377,X:\JAV\ABP\ABP-377.avi,118abp00377,
52,ABP-382,X:\JAV\ABP\ABP-382.mkv,118abp00382,
53,ABP-383,X:\JAV\ABP\ABP-383.mkv,118abp00383,
54,ABP-392,X:\JAV\ABP\ABP-392.mkv,118abp00392,
55,ABP-398,X:\JAV\ABP\ABP-398.mp4,118abp00398,
56,ABP-415,X:\JAV\ABP\ABP-415.avi,118abp00415,
57,ABP-421,X:\JAV\ABP\ABP-421.mkv,118abp00421,
58,ABP-469,X:\JAV\ABP\ABP-469.mp4,118abp00469,
59,ABP-494,X:\JAV\ABP\ABP-494.avi,118abp00494,
60,ABP-509,X:\JAV\ABP\ABP-509.avi,118abp00509,
61,ABP-525,X:\JAV\ABP\abp-525.mp4,118abp00525,
62,ABP-532,X:\JAV\ABP\ABP-532.mkv,118abp00532,
63,ABP-539,X:\JAV\ABP\ABP-539.mp4,118abp00539,
64,ABP-542,X:\JAV\ABP\ABP-542.mp4,118abp00542,
65,ABP-543,X:\JAV\ABP\ABP-543.mp4,118abp00543,X:\JAV\ABP\ABP-543.srt
66,ABP-551,X:\JAV\ABP\ABP-551.mp4,118abp00551,
67,ABP-554,X:\JAV\ABP\ABP-554.mp4,118abp00554,X:\JAV\ABP\ABP-554.srt
68,ABP-567,X:\JAV\ABP\ABP-567.mp4,118abp00567,
69,ABP-580,X:\JAV\ABP\ABP-580.mkv,118abp00580,
70,ABP-585,X:\JAV\ABP\ABP-585.mkv,118abp00585,
71,ABP-594,X:\JAV\ABP\ABP-594.mkv,118abp00594,X:\JAV\ABP\ABP-594.smi
72,ABP-603,X:\JAV\ABP\ABP-603.mkv,118abp00603,
73,ABP-621,X:\JAV\ABP\ABP-621.mkv,118abp00621,
74,ABP-629,X:\JAV\ABP\ABP-629.mp4,118abp00629,
75,ABP-644,X:\JAV\ABP\ABP-644.mp4,118abp00644,
76,ABP-684,X:\JAV\ABP\ABP-684.mkv,118abp00684,X:\JAV\ABP\ABP-684.smi
77,ABP-686,X:\JAV\ABP\ABP-686.mp4,118abp00686,
78,ABP-690,X:\JAV\ABP\ABP-690.mkv,118abp00690,
79,ABP-703,X:\JAV\ABP\ABP-703.mkv,118abp00703,
80,ABP-709,X:\JAV\ABP\ABP-709.mkv,118abp00709,
81,ABP-713,X:\JAV\ABP\ABP-713.mp4,118abp00713,X:\JAV\ABP\ABP-713.srt
82,ABP-719,X:\JAV\ABP\ABP-719.mp4,118abp00719,
83,ABP-724,X:\JAV\ABP\ABP-724.mkv,118abp00724,
84,ABP-742,X:\JAV\ABP\ABP-742.mp4,118abp00742,
85,ABP-742B,X:\JAV\ABP\ABP-742B.mp4,,
86,ABP-761,X:\JAV\ABP\ABP-761.mp4,118abp00761,
87,ABP-773,X:\JAV\ABP\ABP-773.mp4,118abp00773,
88,ABP-806,X:\JAV\ABP\ABP-806.mp4,118abp00806,X:\JAV\ABP\ABP-806.srt
